Last_Three_Digits,Date,Month,Years,First_Price,Last_Two_Digits_Upper,Three_Digits_Upper,Last_Two_Digits_Under,Datetime,day_of_week,weekday_name
083 286 813 008,16,1,2558,244351,51,351,74,2015-01-16,4,ศุกร์
068 398 595 877,30,12,2557,461704,4,704,57,2014-12-30,1,อังคาร
853 982 535 950,16,12,2557,948354,54,354,90,2014-12-16,1,อังคาร
080 763 775 901,1,12,2557,480449,49,449,11,2014-12-01,0,จันทร์
820 380 580 161,16,11,2557,479804,4,804,25,2014-11-16,6,อาทิตย์
179 422 480 709,1,11,2557,206608,8,608,44,2014-11-01,5,เสาร์
607 203 855 979,16,10,2557,656409,9,409,94,2014-10-16,3,พฤหัสบดี
647 784 848 910,1,10,2557,375615,15,615,44,2014-10-01,2,พุธ
251 086 159 520,16,9,2557,772269,69,269,35,2014-09-16,1,อังคาร
112 257 342 790,1,9,2557,856763,63,763,22,2014-09-01,0,จันทร์
308 912 477 490,16,8,2557,662842,42,842,91,2014-08-16,5,เสาร์
639 912 187 633,1,8,2557,766391,91,391,82,2014-08-01,4,ศุกร์
349 576 623 637,16,7,2557,468728,28,728,45,2014-07-16,2,พุธ
104 944 117 205,1,7,2557,378477,77,477,39,2014-07-01,1,อังคาร
123 271 441 864,16,6,2557,673920,20,920,95,2014-06-16,0,จันทร์
158 140 639 576,1,6,2557,781198,98,198,18,2014-06-01,6,อาทิตย์
160 324 409 636,16,5,2557,87523,23,523,20,2014-05-16,4,ศุกร์
150 505 112 246,2,5,2557,103297,97,297,52,2014-05-02,4,ศุกร์
143 158 673 797,16,4,2557,153406,6,406,26,2014-04-16,2,พุธ
344 013 355 634,1,4,2557,28866,66,866,95,2014-04-01,1,อังคาร
186 499 835 938,16,3,2557,531404,4,404,79,2014-03-16,6,อาทิตย์
250 305 400 904,1,3,2557,906318,18,318,35,2014-03-01,5,เสาร์
116 537 753 798,16,2,2557,384245,45,245,1,2014-02-16,6,อาทิตย์
397 530 074 521,1,2,2557,180149,49,149,95,2014-02-01,5,เสาร์
406 492 888 976,16,1,2557,306902,2,902,52,2014-01-16,3,พฤหัสบดี
242 077 149 510,30,12,2556,561072,72,72,48,2013-12-30,0,จันทร์
513 750 503 275,16,12,2556,341767,67,767,79,2013-12-16,0,จันทร์
111 228 742 826,1,12,2556,168795,95,795,27,2013-12-01,6,อาทิตย์
734 766 074 980,16,11,2556,806925,25,925,28,2013-11-16,5,เสาร์
069 304 672 753,1,11,2556,739804,4,804,47,2013-11-01,4,ศุกร์
502 020 256 173,16,10,2556,963289,89,289,60,2013-10-16,2,พุธ
402 529 876 952,1,10,2556,647882,82,882,14,2013-10-01,1,อังคาร
576 324 650 028,16,9,2556,562684,84,684,63,2013-09-16,0,จันทร์
056 235 574 754,1,9,2556,548123,23,123,5,2013-09-01,6,อาทิตย์
281 570 800 045,16,8,2556,321327,27,327,20,2013-08-16,4,ศุกร์
417 945 448 201,1,8,2556,356435,35,435,82,2013-08-01,3,พฤหัสบดี
880 451 718 329,16,7,2556,566996,96,996,86,2013-07-16,1,อังคาร
352 210 584 526,1,7,2556,646905,5,905,51,2013-07-01,0,จันทร์
075 284 903 904,16,6,2556,289673,73,673,69,2013-06-16,6,อาทิตย์
390 098 114 502,1,6,2556,935489,89,489,90,2013-06-01,5,เสาร์
480 713 716 768,16,5,2556,687125,25,125,56,2013-05-16,3,พฤหัสบดี
034 261 390 945,2,5,2556,603458,58,458,7,2013-05-02,3,พฤหัสบดี
272 359 516 830,16,4,2556,843846,46,846,86,2013-04-16,1,อังคาร
834 862 906 828,1,4,2556,571688,88,688,53,2013-04-01,0,จันทร์
170 430 670 725,16,3,2556,968433,33,433,52,2013-03-16,5,เสาร์
860 959 175 529,1,3,2556,976241,41,241,37,2013-03-01,4,ศุกร์
972 721 133 775,16,2,2556,368257,57,257,9,2013-02-16,5,เสาร์
657 708 109 386,1,2,2556,565566,66,566,66,2013-02-01,4,ศุกร์
452 695 641 782,16,1,2556,820981,81,981,8,2013-01-16,2,พุธ
555 196 374 334,30,12,2555,302358,58,358,0,2012-12-30,6,อาทิตย์
589 864 126 832,16,12,2555,529524,24,524,72,2012-12-16,6,อาทิตย์
734 745 778 008,1,12,2555,110443,43,443,43,2012-12-01,5,เสาร์
434 553 489 303,16,11,2555,639500,0,500,15,2012-11-16,4,ศุกร์
576 560 804 627,1,11,2555,524694,94,694,63,2012-11-01,3,พฤหัสบดี
217 188 285 338,16,10,2555,281343,43,343,28,2012-10-16,1,อังคาร
152 089 396 868,1,10,2555,124025,25,25,58,2012-10-01,0,จันทร์
940 554 291 873,16,9,2555,540143,43,143,79,2012-09-16,6,อาทิตย์
242 752 123 770,1,9,2555,329997,97,997,7,2012-09-01,5,เสาร์
